series_id,industry
A3538825X,Accommodation and food services
A3538843C,Administrative and support services
A3538846K,Arts and recreation services
A3538816W,Construction
A3538813R,"Electricity, gas, water and waste services"
A3538834A,Financial and insurance services
A3538831V,Information media and telecommunications
A3538810J,Manufacturing
A3538807V,Mining
A3538849T,Other services
A3538840W,"Professional, scientific and technical services"
A3538837J,"Rental, hiring and real estate services"
A3538822T,Retail trade
A3538828F,"Transport, postal and warehousing"
A3538819C,Wholesale trade
